choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3
1,81,34,6.663458071001514,100,34,42,34,44,81
2,159,39,1.065798319003079,100,73,45,40,39,78
3,229,70,1.6223772539997299,100,143,44,43,42,70
0,319,45,2.601088694998907,100,188,45,44,48,90
1,401,44,1.5744765929994173,100,232,42,44,45,82
2,473,37,0.42643334100284846,100,269,41,47,37,72
3,546,73,0.45060748199830414,100,342,42,47,44,73
3,616,70,0.3475199980020989,100,412,46,54,47,70
3,698,82,0.5309956889977911,100,494,49,48,52,82
3,772,74,0.3178526299998339,100,568,48,39,42,74
3,856,84,1.1147092930004874,100,652,44,51,49,84
3,930,74,0.03842588499901467,100,726,39,48,48,74
3,1008,78,0.12572782699862728,100,804,45,52,51,78
3,1087,79,0.47040217699759523,100,883,52,56,50,79
3,1177,90,0.3858948240012978,100,973,47,63,50,90
3,1251,74,0.4294804600031057,100,1047,42,54,51,74
3,1331,80,0.29992774299898883,100,1127,52,56,44,80
3,1406,75,2.6794022569993103,100,1202,42,52,49,75
3,1480,74,1.3249600070012093,100,1276,40,41,49,74
3,1552,72,0.2171484539976518,100,1348,48,54,53,72
3,1629,77,0.2699929169975803,100,1425,45,55,50,77
3,1706,77,0.17105554199952167,100,1502,50,48,40,77
3,1775,69,0.26896730000225944,100,1571,48,55,56,69
3,1850,75,1.911893674001476,100,1646,38,55,49,75
3,1932,82,0.2803515189989412,100,1728,43,61,41,82
3,2013,81,0.06180285699883825,100,1809,45,56,51,81
3,2097,84,1.1568200959991373,100,1893,52,69,48,84
3,2174,77,0.256039587999112,100,1970,54,77,48,77
0,2246,52,0.5520614560009562,100,2022,52,69,45,72
1,2324,60,0.14627088199995342,100,2082,48,60,51,78
2,2402,57,0.4085505490002106,100,2139,42,67,57,78
3,2481,79,0.32360419999895385,100,2218,53,66,49,79
3,2554,73,0.3116826600016793,100,2291,51,62,51,73
3,2636,82,0.03479311699993559,100,2373,44,64,57,82
3,2719,83,0.42629255000065314,100,2456,45,60,64,83
3,2792,73,0.47251149600197095,100,2529,46,65,58,73
3,2875,83,0.03354750300059095,100,2612,49,62,61,83
3,2943,68,1.1214108569984091,100,2680,51,60,54,68
3,3020,77,1.2486152199999196,100,2757,36,66,55,77
3,3095,73,0.28407160400092835,100,2830,36,75,48,73
3,3171,74,0.1731788149991189,100,2904,27,76,46,74
3,3247,76,0.11191891400085296,100,2980,38,73,58,76
3,3318,71,0.05008251399704022,100,3051,43,68,49,71
3,3393,75,0.04834107399801724,100,3126,39,70,56,75
3,3468,74,0.14476679300059914,100,3200,39,75,53,74
3,3542,72,0.6128445520007517,100,3272,30,74,46,72
3,3614,72,0.5252340760016523,100,3344,33,70,53,72
3,3690,76,0.33927542899982654,100,3420,44,67,57,76
3,3766,76,0.33825775500008604,100,3496,36,64,49,76
3,3837,64,0.8141779489997134,100,3560,42,71,55,64
3,3902,65,0.5148349640003289,100,3625,40,64,50,65
3,3979,73,1.1232326190001913,100,3698,43,77,52,73
3,4057,61,0.09351541099749738,100,3759,50,78,44,61
3,4134,69,0.1584866660014086,100,3828,51,77,47,69
3,4218,64,0.16800229599903105,100,3892,40,84,45,64
3,4300,61,0.3475868880013877,100,3953,39,82,61,61
3,4379,67,0.3090894050001225,100,4020,41,79,53,67
3,4451,56,0.22699018899947987,100,4076,45,72,43,56
2,4525,49,1.1817023570001766,100,4125,41,74,49,60
1,4609,84,0.09152170599918463,100,4209,47,84,48,59
0,4691,42,0.08211063500129967,100,4251,42,82,43,62
1,4767,76,0.7602742519993626,100,4327,37,76,51,55
1,4844,77,1.3613296449984773,100,4404,41,77,51,66
1,4910,65,2.6465398830005142,100,4469,34,65,48,66
3,4976,61,0.33159029300077236,100,4530,24,66,55,61
1,5041,65,0.5052221639998606,100,4595,38,65,59,59
1,5118,77,0.39431730000069365,100,4672,30,77,54,58
1,5193,75,0.09065277799891192,100,4747,43,75,62,62
1,5260,67,0.06929548299740418,100,4814,40,67,64,67
3,5340,65,0.1671214929992857,100,4879,46,80,55,65
1,5418,78,0.773025503000099,100,4957,41,78,59,67
1,5502,84,0.2701393379975343,100,5041,52,84,65,63
1,5588,86,0.11404350900193094,100,5127,48,86,63,69
1,5669,81,0.052111426997726085,100,5208,51,81,62,71
1,5750,81,0.7415656709999894,100,5289,48,81,60,71
1,5819,69,0.5531836959999055,100,5358,37,69,57,59
1,5903,84,0.430726283997501,100,5442,48,84,64,66
1,5996,93,0.041722089001268614,100,5535,51,93,62,73
1,6094,98,0.4970553370003472,100,5633,45,98,60,66
1,6192,98,0.32214147100239643,100,5731,50,98,59,71
1,6272,80,0.418546836997848,100,5811,46,80,64,73
1,6357,85,0.7166852419977658,100,5896,45,85,65,75
1,6435,78,1.3491523179982323,100,5974,48,78,71,70
1,6509,74,1.4335549690003973,100,6048,50,74,60,72
1,6581,72,1.2636996429973806,100,6120,46,72,66,59
1,6657,76,0.6098223119988688,100,6196,45,76,58,72
1,6732,75,0.19696633000057773,100,6271,41,75,53,66
1,6809,77,0.13886119399830932,100,6348,48,77,56,69
1,6891,82,0.5569914609986881,100,6430,43,82,59,66
1,6966,75,2.0653063460013072,100,6505,44,75,40,64
1,7038,72,0.08520936400236678,100,6577,43,72,47,71
1,7113,75,0.5906551580010273,100,6652,45,75,50,74
1,7190,77,2.4392870079973363,100,6729,40,77,46,73
