choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,90,49,1.4452550166151923,102,49,54,28,90,62,47,49,66,54,28,43,24,62,67,71,64,39,53,39,49,22,36,35,33,47,38,43
5,168,54,0.46009685050194093,102,103,64,27,78,64,48,54,70,48,34,46,24,66,72,71,59,41,60,38,55,24,37,40,34,50,38,48
7,251,45,0.2562422875453194,102,148,64,27,83,58,47,58,68,45,23,46,22,69,64,78,58,49,54,45,57,23,40,44,40,49,41,46
7,332,53,0.4958749571169392,102,201,61,40,81,75,41,61,68,53,27,49,22,68,56,81,53,44,63,44,47,20,25,42,36,50,40,49
0,420,52,0.5527339849777491,102,253,52,38,78,70,52,49,74,58,24,55,20,68,53,88,56,46,62,38,49,25,30,53,45,41,33,43
25,520,46,0.3521544948562223,102,299,57,38,81,67,57,54,64,55,22,55,23,69,55,100,53,50,58,29,50,19,38,50,37,38,24,46
25,606,33,0.07757704773575824,102,332,53,33,73,55,58,50,81,53,34,44,8,68,55,86,46,49,56,28,59,31,38,60,38,40,31,33
23,702,35,0.3626011899586956,102,367,45,39,80,62,52,56,71,49,28,42,4,73,55,96,49,47,55,28,54,16,34,56,40,35,33,35
8,799,30,0.49524387996007135,102,397,56,44,72,63,49,41,69,40,30,43,5,75,56,97,55,42,54,24,55,25,46,60,41,35,34,40
14,895,48,0.5727716447936473,102,445,51,37,75,58,49,50,75,53,28,48,19,85,54,96,48,45,60,33,49,22,44,63,37,30,28,45
14,995,43,0.16277758434443967,102,488,51,26,74,64,58,47,80,53,19,46,21,79,56,100,43,42,56,25,58,16,45,64,35,37,32,51
10,1095,14,0.4099018950237223,102,502,58,35,74,64,53,52,79,51,27,54,14,83,54,100,48,45,49,24,47,23,54,54,39,38,27,47
11,1195,78,0.8710784891009098,102,580,57,36,87,75,53,58,76,65,26,51,18,78,49,100,45,43,52,23,45,35,48,44,34,35,36,55
11,1295,80,0.553507150500991,102,660,54,32,88,63,62,51,86,54,21,64,15,80,49,100,33,43,56,30,46,31,51,47,45,30,37,56
11,1395,80,0.16929188790618355,102,740,55,42,86,64,63,62,78,53,20,58,17,80,46,100,37,38,52,28,45,32,48,47,37,31,40,52
11,1495,75,0.16111540647489164,102,815,51,33,71,68,63,66,74,57,24,59,22,75,54,100,46,40,63,19,51,30,54,59,40,39,31,55
11,1595,75,0.5431641415043487,102,890,54,45,63,71,67,59,77,59,16,61,30,75,49,100,39,39,55,19,42,33,50,60,36,33,28,51
11,1695,69,0.09721148381231615,102,959,49,34,71,69,63,61,81,50,20,60,8,69,54,100,42,46,44,20,29,24,57,58,47,30,35,50
11,1795,69,0.43436733554881357,102,1028,56,40,68,73,62,58,83,48,23,54,17,69,60,100,40,44,51,22,36,35,59,51,53,34,32,47
11,1895,65,0.321785986759096,102,1093,42,38,82,73,58,65,71,43,21,61,17,65,43,100,38,39,48,17,31,34,63,45,45,37,35,53
11,1995,57,0.32035998279570777,102,1150,47,28,88,67,70,63,79,47,18,64,22,57,54,100,40,36,48,20,35,45,66,60,50,32,30,44
11,2095,67,0.003136184658615093,102,1217,56,43,68,72,68,64,78,47,30,64,21,67,50,100,36,28,52,29,36,27,68,58,49,35,31,48
11,2195,60,0.31643079144578223,102,1277,54,30,81,69,64,62,70,47,24,75,18,60,51,100,38,34,46,24,38,30,69,52,48,39,24,43
11,2295,60,0.33576056958281697,102,1337,50,24,64,68,65,58,68,50,38,72,25,60,52,100,37,34,50,23,44,44,63,54,55,35,23,46
11,2395,63,0.04206263664764265,102,1400,64,25,73,62,63,65,64,50,29,77,19,63,46,100,34,35,50,26,39,36,57,52,48,31,27,48
11,2495,65,3.699376219271471,102,1465,56,30,72,60,52,59,64,54,31,78,15,65,44,100,39,36,53,30,41,35,62,52,46,30,25,46
3,2595,62,0.9369127654235854,102,1527,56,29,63,62,64,52,62,53,29,81,7,62,51,100,39,35,57,29,44,27,70,51,42,40,36,36
11,2695,58,0.3763152774436094,102,1585,59,40,68,65,66,42,68,57,37,85,23,58,47,100,39,38,58,34,43,42,72,60,37,41,31,47
3,2795,71,0.3195266537295538,102,1656,41,37,67,71,61,43,65,46,39,83,28,57,42,100,42,50,63,28,37,35,67,63,25,35,33,46
3,2895,70,0.338275917685678,102,1726,49,30,63,70,59,43,68,53,35,96,23,67,39,100,41,46,59,35,39,40,69,61,32,32,41,46
3,2995,72,0.003685977030727372,102,1798,50,42,68,72,76,43,66,52,37,90,32,66,39,100,37,40,74,38,39,37,66,66,36,37,42,52
3,3095,66,0.5554835868742884,102,1864,57,37,67,66,72,49,66,50,42,88,34,62,39,100,40,38,67,41,37,26,66,66,47,31,38,44
3,3195,67,0.04937762735517026,102,1931,59,38,70,67,81,52,68,48,34,100,33,70,42,100,39,39,69,33,36,28,64,69,47,30,40,42
3,3295,74,0.37166732377227163,102,2005,51,44,70,74,63,39,71,47,32,100,38,62,45,100,46,42,72,44,40,34,62,56,43,38,43,46
3,3395,70,0.5319116389573537,102,2075,54,41,72,70,64,41,74,49,31,96,29,55,43,100,40,39,81,40,42,27,73,59,51,38,40,51
3,3495,84,0.2437487519264323,102,2159,59,36,68,84,65,40,73,45,36,98,32,59,47,100,41,38,72,45,37,36,65,57,48,45,39,48
3,3595,69,0.18296693309275724,102,2228,64,31,67,69,58,41,66,44,29,95,30,44,37,100,45,25,70,33,40,43,61,57,49,35,34,50
3,3695,68,0.08683135262981523,102,2296,58,41,69,68,58,41,68,50,37,96,32,49,39,100,41,35,69,41,43,50,70,57,48,49,35,50
3,3795,73,0.020658496372561785,102,2369,62,31,78,73,54,46,69,43,32,97,37,50,46,100,39,33,67,38,40,55,65,61,47,51,37,47
3,3895,74,3.3487462941811827,102,2443,67,41,66,74,53,43,71,42,35,97,30,55,53,100,22,42,66,33,41,43,62,53,61,41,34,44
3,3995,78,0.11450338195845688,102,2521,57,42,67,78,64,50,71,44,32,91,36,53,37,100,28,35,64,27,41,56,63,52,48,48,34,41
3,4095,69,0.3596992590919399,102,2590,64,35,69,69,55,38,68,44,35,92,35,49,42,100,25,42,70,29,41,57,59,62,48,46,49,57
3,4195,58,0.2512384729216137,102,2648,56,42,70,58,53,48,61,41,20,92,31,53,56,100,26,30,65,32,43,60,62,65,45,52,41,50
3,4295,65,0.4785427365968644,102,2713,60,43,63,65,56,47,66,47,31,98,28,51,46,100,29,35,61,34,46,65,65,62,44,47,39,48
3,4394,67,0.21548468773926288,102,2780,58,45,58,67,46,57,58,43,19,87,28,49,45,99,26,43,67,36,59,69,68,70,46,55,46,52
13,4494,100,0.43090025140645594,102,2880,52,44,71,59,49,56,66,38,28,84,32,59,52,100,38,34,70,36,50,67,54,66,50,56,43,60
13,4594,100,0.5809833282983163,102,2980,60,54,56,62,55,49,72,40,20,80,37,53,39,100,38,41,66,39,46,60,59,64,46,57,47,54
13,4694,100,0.35762489695389377,102,3080,60,43,62,61,55,65,70,44,18,84,38,58,42,100,30,36,74,30,49,47,52,65,50,56,41,58
13,4790,96,0.2910328160123754,102,3176,52,46,65,63,61,56,70,43,26,73,31,52,43,96,49,32,67,37,46,55,52,68,54,62,42,54
13,4887,97,0.19818446910176135,102,3273,46,52,62,67,64,55,71,49,21,85,39,56,47,97,42,43,78,41,54,50,51,67,50,55,35,44
13,4984,97,0.13896818244666065,102,3370,51,48,62,56,60,60,72,40,19,87,32,47,40,97,44,37,64,32,45,48,53,65,58,54,51,44
13,5083,99,0.13807917010126403,102,3469,50,46,73,62,54,65,62,49,20,79,33,55,44,99,45,39,65,37,51,47,52,75,62,59,46,48
13,5167,84,0.1684412778222395,102,3553,60,45,68,58,61,66,64,50,28,84,37,54,36,84,52,33,64,43,55,45,50,67,50,63,38,39
13,5260,93,0.21883080475799943,102,3646,47,47,75,58,53,61,54,42,27,90,35,62,34,93,50,48,72,26,42,41,57,73,44,60,27,43
13,5349,89,0.24571366762120306,102,3735,50,50,65,55,55,69,61,49,26,85,45,50,40,89,44,39,64,26,49,35,55,71,50,51,36,46
13,5439,90,0.45349614185306564,102,3825,43,50,62,55,61,71,58,37,21,90,27,45,37,90,47,48,72,27,50,40,58,76,41,60,32,46
13,5530,84,0.3654352768289755,102,3909,44,50,55,61,61,75,62,40,23,91,31,45,42,84,45,43,75,20,47,34,55,69,52,59,33,36
13,5626,84,0.3874397724530354,102,3993,49,43,61,59,59,76,49,48,28,96,32,43,46,84,43,46,74,26,44,40,53,76,53,54,45,43
13,5708,82,0.031357366321572044,102,4075,50,37,52,62,53,72,53,45,25,80,32,39,49,82,53,50,66,20,59,38,55,64,53,56,46,39
13,5799,81,0.41045296747142856,102,4156,55,40,60,76,56,65,57,31,34,91,35,46,52,81,43,38,69,30,54,40,63,59,42,61,39,53
13,5892,81,0.42815961003816483,102,4237,50,51,57,71,61,68,45,32,24,93,34,47,48,81,37,46,63,29,54,37,52,64,34,60,46,42
13,5984,84,0.4305098284185078,102,4321,49,52,64,68,61,63,53,45,35,92,22,43,55,84,53,41,66,35,62,35,54,66,40,69,33,40
13,6081,80,0.3914457683276851,102,4401,53,44,62,66,59,59,59,42,33,97,23,45,46,80,47,37,66,27,54,34,61,68,40,58,40,44
13,6177,83,0.4025421016785913,102,4484,45,46,63,59,56,54,64,43,26,96,26,49,43,83,51,40,66,35,54,37,52,70,39,58,44,43
13,6270,87,0.47359140506159747,102,4571,57,43,57,55,56,49,45,36,24,93,21,48,44,87,46,40,62,30,49,36,48,68,39,66,41,38
13,6363,78,0.405819094628896,102,4649,48,48,52,58,57,54,47,39,32,93,22,52,56,78,41,39,56,34,62,26,50,66,48,58,34,47
13,6451,79,0.3840962155845773,102,4728,39,50,48,54,59,52,45,39,27,88,27,42,49,79,35,41,68,35,47,26,56,64,31,66,42,38
13,6540,83,0.0512561379609906,102,4811,43,51,55,45,60,50,38,46,27,89,32,45,59,83,36,48,74,35,71,36,48,69,34,65,37,38
13,6629,83,0.2832806795659053,102,4894,45,54,66,55,62,48,46,43,26,89,38,43,48,83,33,46,74,34,45,35,50,64,37,66,34,36
13,6714,85,0.3821037782699932,102,4979,51,49,65,50,70,55,54,49,28,81,25,36,48,85,37,43,70,41,53,38,56,64,26,65,37,33
13,6798,76,0.38404757272110146,102,5055,47,55,70,47,68,57,45,48,39,84,28,42,48,76,34,49,63,41,56,45,42,64,34,62,40,38
13,6882,72,0.5308261350428438,102,5127,50,57,69,41,64,59,39,41,37,84,31,45,54,72,35,51,64,36,49,39,44,54,35,55,31,30
12,6962,50,0.38117444355157204,102,5177,48,59,71,40,69,62,46,45,42,80,30,32,50,77,34,44,72,40,58,43,43,49,29,63,37,32
13,7048,71,0.009412394201717689,102,5248,55,50,66,45,62,57,40,47,40,86,32,34,50,71,42,49,59,45,60,48,46,58,31,49,41,19
13,7133,85,0.31222574385174084,102,5333,58,52,70,48,44,60,49,53,41,80,36,35,44,85,37,42,71,45,48,42,38,51,29,63,38,16
13,7217,72,0.26077759458439687,102,5405,50,49,74,38,57,68,49,54,36,84,29,30,46,72,38,43,67,43,47,61,40,51,25,68,46,27
13,7313,65,0.32344688455214055,102,5470,61,53,75,46,55,58,47,49,39,96,39,37,49,65,35,43,67,44,56,55,38,50,29,59,46,34
13,7403,62,0.3796748352542636,102,5532,46,49,70,45,61,58,55,41,37,90,38,36,45,62,42,48,61,51,59,56,43,61,27,68,48,31
13,7500,72,0.41474057992491,102,5604,51,52,74,41,55,58,45,47,34,97,36,35,48,72,44,47,60,56,54,64,43,55,21,71,43,39
13,7585,66,0.28163130245138746,102,5670,57,49,83,40,56,65,40,44,33,85,40,44,40,66,43,53,69,50,60,54,35,51,30,76,49,33
13,7671,68,0.094181545408901,102,5738,64,49,72,41,66,58,52,52,31,86,28,44,49,68,39,45,61,57,54,64,49,57,22,58,47,42
11,7757,44,0.23796665147619933,102,5782,55,50,78,42,57,58,47,54,35,86,31,44,43,52,45,53,56,61,63,59,40,56,39,63,45,39
13,7841,63,0.817977762530063,102,5845,50,50,84,39,66,56,45,56,38,80,35,40,49,63,33,61,67,53,68,57,34,54,28,57,51,44
13,7926,72,0.16301695843867492,102,5917,51,46,80,45,56,57,37,47,43,85,29,36,45,72,41,54,66,45,66,64,41,59,33,55,45,37
13,8004,73,0.19571520371118822,102,5990,55,53,67,46,61,53,41,52,52,78,24,47,42,73,42,53,55,46,56,56,33,53,41,63,35,35
13,8083,74,0.22668598727068456,102,6064,53,62,79,44,55,53,43,50,46,73,33,40,48,74,51,61,52,49,52,55,28,52,40,59,40,34
13,8161,71,0.2927167551624734,102,6135,56,60,77,38,53,47,37,53,49,78,31,34,41,71,59,61,49,47,56,56,37,52,39,59,46,34
13,8234,69,0.32915794081873173,102,6204,50,52,72,44,55,44,42,46,50,73,35,47,30,69,59,62,55,48,51,50,35,51,36,67,48,25
13,8314,70,0.30584968843049865,102,6274,50,59,80,34,56,56,41,55,56,77,24,39,39,70,59,62,59,40,48,50,34,56,42,63,36,32
13,8395,67,0.8143794706638801,102,6341,53,54,81,46,54,54,42,59,51,69,27,45,41,67,54,56,51,46,47,54,23,52,40,68,37,31
13,8475,60,0.41098611886263825,102,6401,41,65,80,36,57,51,44,54,48,64,25,41,38,60,55,59,58,52,36,49,26,63,34,58,39,32
13,8550,65,0.38396436782204546,102,6466,50,56,74,45,43,55,43,53,61,75,26,48,43,65,63,55,53,40,40,55,32,53,39,68,40,28
13,8621,68,0.332578942247892,102,6534,54,52,70,34,54,62,37,41,46,70,25,44,39,68,53,54,57,42,41,50,36,59,43,71,45,38
13,8691,67,0.3095670273060023,102,6601,52,55,70,40,59,57,44,51,53,61,29,53,35,67,57,54,55,46,33,56,39,59,48,64,44,30
16,8758,60,0.46106906774730305,102,6661,55,63,55,46,56,55,37,43,42,50,23,42,37,67,67,61,60,50,36,52,40,53,46,62,50,39
13,8838,80,0.2415233408946733,102,6741,58,47,67,40,51,51,41,51,62,65,28,48,50,80,53,55,45,44,29,43,47,52,45,62,41,36
13,8913,73,0.4271246691005217,102,6814,60,50,62,41,50,75,40,47,51,67,25,48,41,73,63,55,57,44,26,39,45,62,49,58,48,41
13,8982,69,0.38238539485155343,102,6883,48,38,60,48,61,65,26,48,57,61,28,55,38,69,58,50,56,42,27,39,43,58,48,52,46,38
13,9046,63,0.49921595383511885,102,6946,52,40,57,52,56,64,32,42,56,62,29,53,39,63,59,45,48,50,35,36,39,57,50,59,44,33
13,9119,73,0.10671476336574415,102,7019,53,50,68,56,41,62,39,47,68,56,22,43,44,73,69,49,48,45,22,34,40,52,50,65,49,36
13,9189,70,0.3592089902249427,102,7089,48,50,60,56,50,64,40,48,63,61,33,38,44,70,54,45,48,47,32,38,43,48,51,62,63,30
13,9269,80,0.18579077936101385,102,7169,49,52,63,60,56,71,45,56,58,64,27,43,43,80,47,41,54,50,28,41,45,48,55,67,61,39
