choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7
0,90,54,1.9917601390188793,103,54,54,28,90,62,47,49,66,54
7,168,48,0.9207497415845864,103,102,64,27,78,64,48,54,70,48
1,251,27,3.003277639283624,103,129,64,27,83,58,47,58,68,45
2,332,81,1.1882885679442552,103,210,61,40,81,75,41,61,68,53
2,410,78,0.3362143618360278,103,288,52,38,78,70,52,49,74,58
2,491,81,0.01976568175450666,103,369,57,38,81,67,57,54,64,55
2,572,73,0.06776027982414234,103,442,53,33,73,55,58,50,81,53
3,652,62,0.09656587120844051,103,504,45,39,80,62,52,56,71,49
4,724,49,1.2645850467743003,103,553,56,44,72,63,49,41,69,40
6,799,75,0.07232055709027918,103,628,51,37,75,58,49,50,75,53
5,879,47,0.5448996899067424,103,675,51,26,74,64,58,47,80,53
2,958,74,0.03650333939731354,103,749,58,35,74,64,53,52,79,51
5,1045,58,0.14616440678946674,103,807,57,36,87,75,53,58,76,65
2,1133,88,1.1511605505584157,103,895,54,32,88,63,62,51,86,54
2,1219,86,0.23476691383257275,103,981,55,42,86,64,63,62,78,53
2,1293,71,0.42501912116858875,103,1052,51,33,71,68,63,66,74,57
2,1370,63,1.2790454459682223,103,1115,54,45,63,71,67,59,77,59
1,1451,34,0.23370316915679723,103,1149,49,34,71,69,63,61,81,50
2,1534,68,0.5899955517306807,103,1217,56,40,68,73,62,58,83,48
0,1616,42,0.4702289099150221,103,1259,42,38,82,73,58,65,71,43
3,1704,67,0.08700240975304041,103,1326,47,28,88,67,70,63,79,47
2,1782,68,0.13956304543535225,103,1394,56,43,68,72,68,64,78,47
2,1863,81,0.2851930197357433,103,1475,54,30,81,69,64,62,70,47
2,1931,64,0.4848659598501399,103,1539,50,24,64,68,65,58,68,50
4,2004,63,0.3414498801503214,103,1602,64,25,73,62,63,65,64,50
7,2076,54,0.09722255113592837,103,1656,56,30,72,60,52,59,64,54
2,2140,63,1.2368547207661322,103,1719,56,29,63,62,64,52,62,53
6,2208,68,3.7389754897085368,103,1787,59,40,68,65,66,42,68,57
5,2279,43,0.2551905555810663,103,1830,41,37,67,71,61,43,65,46
2,2349,63,0.2528128110207035,103,1893,49,30,63,70,59,43,68,53
2,2425,68,0.39437789817748126,103,1961,50,42,68,72,76,43,66,52
3,2497,66,0.4933906381484121,103,2027,57,37,67,66,72,49,66,50
0,2578,59,0.5352024603125756,103,2086,59,38,70,67,81,52,68,48
1,2652,44,0.27628175792779075,103,2130,51,44,70,74,63,39,71,47
3,2726,70,0.21803757668385515,103,2200,54,41,72,70,64,41,74,49
